text,model,label,score
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,rf,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
you have win 1 million,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Woman sentenced in case that sparked Springfield cat-eating rumours,best,unknown,0.0
Delhi Cops Bust Transnational Lottery Scam  6 Including 2 Nigerians Arrested,best,unknown,0.0
Delhi Cops Bust Transnational Lottery Scam  6 Including 2 Nigerians Arrested,best,unknown,0.0
Delhi Cops Bust Transnational Lottery Scam  6 Including 2 Nigerians Arrested,best,unknown,0.0
Delhi Cops Bust Transnational Lottery Scam  6 Including 2 Nigerians Arrested,best,unknown,0.0
Delhi Cops Bust Transnational Lottery Scam  6 Including 2 Nigerians Arrested,best,unknown,0.0
Delhi Cops Bust Transnational Lottery Scam  6 Including 2 Nigerians Arrested,best,unknown,0.0
Shocking! Celebrity endorses miracle cure that doctors don't want you to know about.,best,real,0.5333337145496181
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,best,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,rf,real,0.75
Breaking: Mainstream media admits to spreading false information for decades.,rf,real,0.75
Breaking: Mainstream media admits to spreading false information for decades.,nb,real,0.604371678653718
Breaking: Mainstream media admits to spreading false information for decades.,nb,real,0.604371678653718
Breaking: Mainstream media admits to spreading false information for decades.,nb,real,0.604371678653718
Breaking: Mainstream media admits to spreading false information for decades.,nb,real,0.604371678653718
Breaking: Mainstream media admits to spreading false information for decades.,svm,real,0.666674313269983
Breaking: Mainstream media admits to spreading false information for decades.,lstm,unknown,0.0
Breaking: Mainstream media admits to spreading false information for decades.,bert,unknown,0.0
Breaking: Mainstream media admits to spreading false information for decades.,bert,unknown,0.0
Breaking: Mainstream media admits to spreading false information for decades.,bert,unknown,0.0
Breaking: Mainstream media admits to spreading false information for decades.,bert,unknown,0.0
Breaking: Mainstream media admits to spreading false information for decades.,bert,unknown,0.0
Breaking: Mainstream media admits to spreading false information for decades.,bert,unknown,0.0
Breaking: Mainstream media admits to spreading false information for decades.,nb,real,0.604371678653718
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,nb,real,0.6940396777771042
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,lstm,unknown,0.0
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,bert,unknown,0.0
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,rf,real,0.8033333333333333
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Donald Trump Sends Out Embarrassing New Year’s Eve Message; This is Disturbin,best,real,0.6666665843622883
Americans are more concerned over Indians fake open source contribution,best,real,0.533333447248212
Americans are more concerned over Indians fake open source contribution,best,real,0.533333447248212
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,best,real,0.533333447248212
Americans are more concerned over Indians fake open source contribution,rf,real,0.76
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Americans are more concerned over Indians fake open source contribution,nb,real,0.5613452287233257
Trump Just Sent Michelle Obama a Bill She will Never Be able to pay in her lifetime',nb,real,0.625
Trump Just Sent Michelle Obama a Bill She will Never Be able to pay in her lifetime',best,real,0.6000003443352954
Americans are more concerned over Indians fake open source contribution,best,real,0.533333447248212
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,best,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,svm,real,0.6000003443352954
House Intelligence Committee Chairman Devin Nunes is going to have a bad day,lstm,error,0.0
